Date,ID,Tweet Text,Source,User ID,Lat,Lng
Mon Nov 25 00:40:31 +0000 201,1.19876E+18,RT @Annie_Andersen: At @BernieSanders Portsmouth event; a group of supporters printed out signs with New Hampshire sights on them. https://\u2026,"\u003ca href=""https://mobile.twitter.com"" rel=""nofollow""\u003eTwitter Web App\u003c/a\u003e",18319096,-70.757679,43.075428
Mon Nov 25 00:40:49 +0000 201,1.19876E+18,RT @lkoch99: Toronto police: We stopped enforcing traffic violations for 5 years and switched to asphalt-coloured cars on a whim. But AirPo\u2026,"\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",451128988,-79.27257,43.629311
Mon Nov 25 00:40:50 +0000 201,1.19876E+18,"Chris Cuthbert is to the CF, what Al Michaels is to the NFL. Just brings that big game feeling, and elevates the e\u2026 https:\/\/t.co\/8WCtyvI7pR""","\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",507411361,-75.800141,45.248791
Mon Nov 25 00:40:55 +0000 201,1.19876E+18,RT @MAGNET109: \u2763\ufe0f \u8840\u754c\u6226\u7dda &amp; BEYOND Ani-Art POP UP SHOP MAGNET by SHIBUYA109\u2763\ufe0f\n\n11/22(\u91d1)\uff5e12/15(\u65e5)\u307e\u3067\u671f\u9593\u9650\u5b9a\u3067\u672c\u65e5\u30aa\u30fc\u30d7\u30f3\ud83d\ude0d\n\n\u30a4\u30d9\u30f3\u30c8\u5148\u884c\u8ca9\u58f2\u5546\u54c1\u3001\u8cfc\u5165\u7279\u5178\u306e\u914d\u5e03\u3084\u30a4\u30d9\u30f3\u30c8\u8a73\u7d30\u306f\u30ea\u30f3\u30af\u304b\u2026,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",1.17478E+18,139.692626,35.666851
Mon Nov 25 00:41:05 +0000 201,1.19876E+18,Thanks for being there pal!,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",26823392,-117.905645,33.663609
Mon Nov 25 18:56:03 +0000 201,1.19904E+18,Such a pleasure to be a part of this event!,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",92415777,-79.27257,43.629311
Mon Nov 25 18:56:05 +0000 201,1.19904E+18,RT @Kev_McLoughlin: Thank you Gilberto for the much appreciated feedback @1WimpoleStAV #avtweeps @1WimpoleSt @RoySocMed https://t.co/li3oFE\u2026,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",164718669,-0.115406,51.46034
Mon Nov 25 18:56:06 +0000 201,1.19904E+18,A pleasure to sponsor a great event. Sign us up for next year.,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",585960273,-2.722756,53.73662
Mon Nov 25 18:56:06 +0000 201,1.19904E+18,RT @AvalonGroove: Idiots are discussing Buhari 3rd term agenda which he has repeatedly disowned. When he hands over in 2023 they will congr\u2026,"\u003ca href=""http://twitter.com/download/iphone"" rel=""nofollow""\u003eTwitter for iPhone\u003c/a\u003e",4578929247,3.318066,6.590611
Mon Nov 25 18:56:10 +0000 201,1.19904E+18,RT @DiriyahSeason: \u0627\u0644\u062f\u0631\u0639\u064a\u0629 \u0632\u0631\u0642\u0627\u0627\u0627\u0627\u0627\u0627\u0627\u0627\u0627\u0621 \ud83d\udc99\ud83d\udc99\n\n\u0627\u062d\u062a\u0641\u0627\u0644 #\u0645\u0648\u0633\u0645_\u0627\u0644\u062f\u0631\u0639\u064a\u0629 \u0645\u0639 \u0645\u0645\u062b\u0644 \u0627\u0644\u0648\u0637\u0646 \ud83c\uddf8\ud83c\udde6 \u0646\u0627\u062f\u064a \u0627\u0644\u0647\u0644\u0627\u0644 \u0631\u0627\u062d \u064a\u0643\u0648\u0646 \u0641\u064a \u0645\u0642\u0631 \u0641\u0639\u0627\u0644\u064a\u0627\u062a \u0627\u0644\u0645\u0648\u0633\u0645 \u0628\u0645\u0646\u0627\u0633\u0628\u0629 \u062a\u062d\u0642\u064a\u0642\u2026,"\u003ca href=""http://twitter.com/download/android"" rel=""nofollow""\u003eTwitter for Android\u003c/a\u003e",9.79703E+17,46.584316,24.736764
